Rotational Speed (N),Welding Speed (S),Corrosion pit potential/mv
1100,700,-572
1100,700,-591
1100,700,-577
1100,700,-594
1100,900,-575
1100,900,-587
1300,900,-568
1300,900,-589
1100,700,-569
1100,700,-592
1300,700,-574
1300,700,-588
1100,900,-573
1100,900,-593
1300,900,-576
1300,900,-558
1200,800,-554
1200,800,-615
1000,800,-557
1400,800,-610
1200,600,-551
1200,1000,-611
1200,800,-558
1200,800,-618
1200,800,-586
1200,800,-590
1200,800,-582
1200,800,-581
1200,800,-591
1200,800,-588
1200,800,-587
